Designator,Mid X,Mid Y,Rotation,Layer
J3,136,-85.3,0,B
J4,152.5,-93.325,180,B
U4,180.25,-70.6,90,B
C1,95,-87,-90,T
C2,103.125,-67.55,90,T
C3,96.925,-67.55,-90,T
C4,114.425,-81.1,0,T
C5,96,-70.2,0,T
C6,95.5,-82.805,90,T
C7,108,-74.5,180,T
C8,122,-83,0,T
C9,92.25,-78.5,0,T
C10,104.5,-80.25,90,T
C11,94.5,-99.5,0,T
C12,171.75,-81.25,90,T
C13,126.485,-78.5,180,T
C14,130,-77.23,180,T
C15,128.5,-72.23,0,T
C16,128.5,-68.73,0,T
C17,128,-66.98,90,T
C18,127.5,-85.48,-90,T
C19,132.25,-84.75,0,T
C20,132.25,-79.25,0,T
C21,128.5,-76.23,90,T
D1,92.25,-84.5,0,T
D2,92.25,-82.29,0,T
D3,188,-81,180,T
J1,127,-62.9625,90,T
J2,91.5,-93.2,-90,T
J5,123.82,-94.2,-90,T
L1,127.25,-76.23,90,T
L2,128.735,-78.5,180,T
L3,128,-73.98,90,T
L4,128,-70.48,90,T
R1,107.975,-77.97,0,T
R2,107.975,-76.27,0,T
R3,98.625,-82.8,90,T
R4,97.125,-82.8,90,T
R5,92.75,-70.25,180,T
R6,99.125,-70.2,0,T
R7,92.25,-86.5,180,T
R8,92.25,-80.25,180,T
R9,171.5,-74,-90,T
R10,182.75,-84.5,-90,T
R11,160.75,-85,-90,T
R12,171.75,-95.5,-90,T
R13,171.75,-84.75,-90,T
R14,122,-71.75,-90,T
R15,124.75,-71.75,-90,T
R16,119.5,-71.75,-90,T
R17,118,-71.75,-90,T
R18,115.75,-71.75,-90,T
R19,114.24,-71.75,-90,T
R20,188,-82.75,0,T
R21,122.75,-81.5,180,T
R22,157.5,-87.8,0,T
R23,151.3,-87.8,180,T
R24,154.4,-87.8,180,T
R25,184,-66.3,90,T
R26,182.3,-66.3,90,T
R27,183.8,-74.2,90,T
R28,182.1,-74.2,90,T
R29,173,-66.1,90,T
SW1,101,-89,180,T
SW2,167.25,-70.34,90,T
SW3,178.25,-81.025,90,T
SW4,156.25,-81.34,90,T
SW5,167.25,-92.34,90,T
SW6,167.25,-81.34,90,T
SW7,178,-66.2,0,T
U1,109.175,-82.975,0,T
U2,99.0625,-76.6,180,T
U3,100.5,-96.5,90,T
U5,114.3,-76,0,T
U6,126.5,-81.925,90,T
Y1,100.025,-67.7,0,T
Y2,132,-82,-90,T
